anio,region_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2013,Centro,GC4,31327,54919386,54.8251259297198,54.2177994631083,55.4375430860684
2014,Centro,GC4,33209,55463440,57.0740536567462,56.4599920368502,57.6931137784457
2015,Centro,GC4,37453,56001598,63.3470424277201,62.7052199903258,63.9937831421169
2016,Centro,GC4,41180,56533884,68.659411153527,67.995963081921,69.3277067456087
2017,Centro,GC4,40798,57060486,66.6283350638911,65.9816209630126,67.2797965776352
2018,Centro,GC4,38670,57580666,62.1915496682179,61.5715890778724,62.8161853392905
2019,Centro,GC4,39366,58093776,62.1320159091614,61.518109519518,62.7505104476341
2020,Centro,GC4,33976,58599232,52.9094176574654,52.3467097788917,53.4766537862591
2021,Centro,GC4,39781,59097190,61.0657129090406,60.4651972576878,61.6706930627329
2022,Centro,GC4,43734,59587876,65.0248044485173,64.4147334308883,65.6392003506087
2023,Centro,GC4,38466,60070944,56.0500269715361,55.4891037189308,56.6151913568091
2010,Cuyo,GC1,2424,6514678,45.5160299380982,43.7154668110814,47.3715091779957
2011,Cuyo,GC1,2335,6599630,42.6309962967487,40.913781978524,44.4015903146359
2012,Cuyo,GC1,2420,6684496,43.0931639697084,41.3889775878012,44.8493706885495
2013,Cuyo,GC1,2404,6769140,41.5736364457411,39.9243254581602,43.2734627707217
2014,Cuyo,GC1,2485,6853422,41.8816969318743,40.2477744234753,43.5648274930623
2015,Cuyo,GC1,2815,6937178,46.3185140666227,44.6208498177286,48.0641678351258
2016,Cuyo,GC1,2794,7020416,44.6907350712967,43.046835792675,46.3812810702309
2017,Cuyo,GC1,2983,7103140,46.5444759114618,44.88784088451,48.2465826448797
2018,Cuyo,GC1,2746,7185212,41.7141896414716,40.167638582182,43.3050129970502
2019,Cuyo,GC1,3232,7266488,47.6943251912761,46.0632832010379,49.3683517901964
2020,Cuyo,GC1,3805,7346828,54.7655109346855,53.0385933872276,56.5343256274164
2021,Cuyo,GC1,4233,7426220,59.2955000084174,57.5219978905765,61.1097679902648
2022,Cuyo,GC1,4361,7504660,59.2322261671692,57.4864068937482,61.0175742747346
2023,Cuyo,GC1,3660,7582048,48.3287428638379,46.7744846062985,49.9214591136237
2010,Cuyo,GC2,1916,6514678,36.5815003190169,34.9589047644532,38.2598758146898
2011,Cuyo,GC2,2057,6599630,38.0665408089042,36.4362452174222,39.7508905782315
2012,Cuyo,GC2,2017,6684496,36.2855215916171,34.7167303115153,37.9068504687438
2013,Cuyo,GC2,2072,6769140,36.2281407504857,34.6828123488906,37.8245169872677
2014,Cuyo,GC2,1716,6853422,29.1063478778639,27.7435347204429,30.5187182680687
2015,Cuyo,GC2,1951,6937178,32.2909723960924,30.8725340088093,33.7577248530025
2016,Cuyo,GC2,1864,7020416,29.9806603705704,28.6340120358446,31.3742559537029
2017,Cuyo,GC2,1827,7103140,28.5504227720529,27.2553632095893,29.8910947398049
2018,Cuyo,GC2,1831,7185212,27.862215070835,26.6000514793296,29.1687829411367
2019,Cuyo,GC2,2047,7266488,30.242661829752,28.9461640905765,31.5822531085955
2020,Cuyo,GC2,2147,7346828,30.8493626172241,29.5578245112048,32.1827997523703
2021,Cuyo,GC2,2165,7426220,30.2504350697295,28.9891764362331,31.5524369616765
2022,Cuyo,GC2,2337,7504660,31.6192437231715,30.3497519701095,32.9281805182695
2023,Cuyo,GC2,2126,7582048,27.9626512556466,26.7857920528349,29.1778806280653
2010,Cuyo,GC3,1812,6514678,33.9216513706161,32.3725776161893,35.5255137154606
2011,Cuyo,GC3,1965,6599630,35.8749348994482,34.3018456745025,37.5014110504148
2012,Cuyo,GC3,2045,6684496,36.3897053058862,34.8257465663669,38.0056734439348
2013,Cuyo,GC3,1889,6769140,32.7694629311711,31.3055702208865,34.2840450326212
2014,Cuyo,GC3,1698,6853422,28.6422722896635,27.2937892784537,30.0400558476204
2015,Cuyo,GC3,1689,6937178,27.7428072669889,26.4334624607389,29.1001516537611
2016,Cuyo,GC3,1759,7020416,28.0372449352261,26.7406069658636,29.3804424582336
2017,Cuyo,GC3,1531,7103140,23.8193845116086,22.6400630309542,25.0441610021913
2018,Cuyo,GC3,1722,7185212,26.1810941717531,24.9584911912745,27.4480767299713
2019,Cuyo,GC3,1753,7266488,25.950065806484,24.749026247658,27.1943073754972
2020,Cuyo,GC3,1599,7346828,23.0394005399779,21.9235458985607,24.1973204495235
2021,Cuyo,GC3,1503,7426220,21.047999990951,19.996905200552,22.1399911234533
2022,Cuyo,GC3,1620,7504660,22.073779180557,21.0113518514269,23.1759919088064
2023,Cuyo,GC3,1541,7582048,20.3917980425192,19.3855230281003,21.4367295760667
2010,Cuyo,GC4,3192,6514678,60.364769205951,58.2833978524008,62.5013408000574
2011,Cuyo,GC4,3348,6599630,61.5502104763581,59.477984752721,63.6760797876606
2012,Cuyo,GC4,3347,6684496,59.8485057838861,57.8336283670911,61.915550118353
2013,Cuyo,GC4,3629,6769140,63.0993114082392,61.0590863653682,65.1902371293907
2014,Cuyo,GC4,4031,6853422,68.0748786074268,65.9858092921384,70.2131713264979
2015,Cuyo,GC4,4191,6937178,69.1973754191115,67.115991674782,71.32684419336
2016,Cuyo,GC4,4748,7020416,76.3966613792916,74.2374412363974,78.6027114882967
2017,Cuyo,GC4,4394,7103140,68.8816208287028,66.8590336644043,70.9498289721225
2018,Cuyo,GC4,4169,7185212,63.5215030474486,61.6072586744642,65.4800891428152
2019,Cuyo,GC4,3846,7266488,56.9503709806512,55.1641958968601,58.7796461906714
2020,Cuyo,GC4,3943,7346828,56.7934636209938,55.03421819291,58.5946270709394
2021,Cuyo,GC4,4078,7426220,57.0700145993036,55.3313254132076,58.8494315862697
2022,Cuyo,GC4,4305,7504660,58.3953798327768,56.6632737469567,60.1669617059492
