anio,region_deis,jurisd_deis,nivel,total_count,total_pop,value,lowercl,uppercl
2013,Centro,CABA,GC3,2322,6088152,27.2850389638799,26.1538740503157,28.4514661747442
2014,Centro,CABA,GC3,2178,6098458,25.0339464156156,23.9646806294642,26.137648327365
2015,Centro,CABA,GC3,2266,6108534,26.3198547861244,25.2182789245204,27.4561995930927
2016,Centro,CABA,GC3,2357,6118244,26.8293594176533,25.7282134984877,27.9645716771991
2017,Centro,CABA,GC3,2397,6127456,26.7350421989703,25.6472036767247,27.856248631651
2018,Centro,CABA,GC3,2078,6136086,23.3488673706321,22.3291571032054,24.4022128423851
2019,Centro,CABA,GC3,1832,6144058,21.0537548301876,20.0749853074783,22.0669489417575
2020,Centro,CABA,GC3,1411,6151292,16.478044504893,15.6069211309753,17.3841732664132
2021,Centro,CABA,GC3,1429,6157672,16.7310834514524,15.8508957727391,17.6464124127944
2022,Centro,CABA,GC3,1849,6163100,20.4619918804155,19.5145644902503,21.4425850318923
2023,Centro,CABA,GC3,1913,6167540,20.9000350312026,19.9476597582016,21.8851762390199
2010,Centro,CABA,GC4,4225,6056962,45.6853428986782,44.2800781944016,47.1229400861184
2011,Centro,CABA,GC4,4043,6067278,43.2845599842848,41.9230858011791,44.6780654522816
2012,Centro,CABA,GC4,3860,6077720,41.6378731178107,40.2988065430636,43.0091917332034
2013,Centro,CABA,GC4,4939,6088152,52.4383034562519,50.948995097714,53.9592743735739
2014,Centro,CABA,GC4,5635,6098458,60.1328581471077,58.5346847962941,61.7628172957776
2015,Centro,CABA,GC4,5582,6108534,59.6493639947008,58.0575067870417,61.2730329810792
2016,Centro,CABA,GC4,6295,6118244,67.023590311179,65.3399048587813,68.7389395313279
2017,Centro,CABA,GC4,6225,6127456,65.4541247179497,63.8027016666855,67.1367807502721
2018,Centro,CABA,GC4,5691,6136086,60.1958806227027,58.6065582938782,61.8166551047694
2019,Centro,CABA,GC4,5774,6144058,60.5126404005342,58.9267745074846,62.1296612076889
2020,Centro,CABA,GC4,5004,6151292,52.6359336122949,51.1544327241985,54.1487234505698
2021,Centro,CABA,GC4,4978,6157672,52.1331371846902,50.6606114783267,53.6368443444889
2022,Centro,CABA,GC4,5629,6163100,57.4503352851424,55.9238419433417,59.0072051471475
2023,Centro,CABA,GC4,4942,6167540,49.8327610414245,48.4189501010877,51.2766202409991
2010,Centro,Córdoba,GC1,4455,6746050,67.6049679053299,65.6317991064668,69.622333489943
2011,Centro,Córdoba,GC1,4502,6823546,67.1647854855884,65.2144470017012,69.1585779425927
2012,Centro,Córdoba,GC1,4401,6901346,64.4005225057078,62.5092038399328,66.3344669291421
2013,Centro,Córdoba,GC1,4639,6979338,66.6520130336319,64.745014209382,68.6008604795565
2014,Centro,Córdoba,GC1,4506,7057374,63.4841913557177,61.6414632534535,65.3679573972494
2015,Centro,Córdoba,GC1,4950,7135308,68.3296702164315,66.4368407996873,70.2626957512603
2016,Centro,Córdoba,GC1,5408,7213080,73.2172329599009,71.2762202308261,75.1976610232515
2017,Centro,Córdoba,GC1,5025,7290642,66.6305791372388,64.7986146840749,68.5011523773995
2018,Centro,Córdoba,GC1,5193,7367874,67.4811916218677,65.6558237406119,69.3443947079861
2019,Centro,Córdoba,GC1,5467,7444664,69.4909450253422,67.6583241135585,71.3605766077745
2020,Centro,Córdoba,GC1,4791,7520900,59.7634453240927,58.0800137736252,61.4832215923043
2021,Centro,Córdoba,GC1,5805,7596522,70.6656210570474,68.8554947504454,72.5112118497943
2022,Centro,Córdoba,GC1,6403,7671476,76.1282593171181,74.2701429340786,78.021020853105
2023,Centro,Córdoba,GC1,5290,7745660,61.4526501167472,59.8025459541105,63.1366381214152
2010,Centro,Córdoba,GC2,2595,6746050,39.0490925782402,37.5591925616708,40.5828863235342
2011,Centro,Córdoba,GC2,2733,6823546,40.4503286044432,38.9460626732888,41.9977602652115
2012,Centro,Córdoba,GC2,2759,6901346,40.1734813355173,38.6862842066099,41.703149673505
2013,Centro,Córdoba,GC2,2616,6979338,37.3952388490253,35.9737017108472,38.8584845382674
2014,Centro,Córdoba,GC2,2465,7057374,34.480676733974,33.1309603335204,35.8712091931899
2015,Centro,Córdoba,GC2,2441,7135308,33.5125177253456,32.1944065279247,34.8706879623632
2016,Centro,Córdoba,GC2,2898,7213080,39.0020010154715,37.5931264645645,40.4501183317321
2017,Centro,Córdoba,GC2,2974,7290642,39.2202693023303,37.8214982142554,40.6574931147763
2018,Centro,Córdoba,GC2,2799,7367874,36.2265857739808,34.8949356337839,37.5959880692193
2019,Centro,Córdoba,GC2,2780,7444664,35.1652941166153,33.8682846469744,36.4992010821141
2020,Centro,Córdoba,GC2,2792,7520900,34.5409605079982,33.2693373064313,35.8486799750453
2021,Centro,Córdoba,GC2,3073,7596522,37.2010547019446,35.8944888868591,38.5429465084268
2022,Centro,Córdoba,GC2,2915,7671476,34.3975337473681,33.1569616719726,35.6725582458372
